Name,Population,Cases in past week,Reported prevalence,Underreporting factor,Delay factor,Estimated prevalence
Entire country,11589616,11250,0.000971,2.3166,1.1192,0.002517
Antwerp,1857986,1939,0.001044,2.3166,1.0464,0.002531
Brussels,1208542,1976,0.001636,2.3166,1.1839,0.004487
East Flanders,1515064,1237,0.000817,2.3166,1.0,0.001893
Flemish Brabant,1146175,1424,0.001243,2.3166,1.0326,0.002974
Hainaut,1344241,1128,0.00084,2.3166,1.5161,0.00295
Liege,1106992,592,0.000536,2.3166,1.0609,0.001317
Limburg,874048,682,0.000781,2.3166,1.0,0.00181
Luxembourg,284638,121,0.000429,2.3166,1.1101,0.001102
Namur,494325,218,0.000443,2.3166,1.1658,0.001196
Walloon Brabant,403599,441,0.001095,2.3166,1.0475,0.002658
West Flanders,1195796,1229,0.001029,2.3166,1.2923,0.003079
