Name,Population,Cases in past week,Reported prevalence,Underreporting factor,Delay factor,Estimated prevalence
Entire country,212559409,249695,0.001175,3.2651,1.0,0.003836
Acre,881935,195,0.000222,3.8282,1.0,0.000851
Alagoas,3337357,1690,0.000507,3.8282,1.0,0.00194
Amapa,845731,568,0.000673,3.8282,1.0,0.002576
Amazonas,4144597,2775,0.00067,3.8282,1.0,0.002564
Bahia,14873064,8877,0.000597,3.8282,1.0,0.002285
Ceara,9132078,5457,0.000598,3.8282,1.0947,0.002505
Distrito Federal,3015268,4729,0.001569,3.8282,1.078,0.006473
Espirito Santo,4018650,3914,0.000974,3.8282,1.0,0.003729
Goias,7018354,17108,0.002438,3.8282,1.0681,0.009968
Maranhao,7075181,3947,0.000558,3.8282,1.6189,0.003458
Mato Grosso,3484466,8230,0.002362,3.8282,1.0,0.009043
Mato Grosso do Sul,2778986,4153,0.001495,3.8282,1.0341,0.005917
Minas Gerais,21168791,36995,0.001748,3.8282,1.1155,0.007463
Para,8602865,3151,0.000366,3.8282,1.0,0.001403
Paraiba,4018127,4166,0.001037,3.8282,1.0,0.00397
Parana,11433957,20112,0.001759,3.8282,1.2499,0.008417
Pernambuco,9557071,5814,0.000608,3.8282,1.0,0.002329
Piaui,3273227,2386,0.000729,3.8282,1.0647,0.002972
Rio de Janeiro,17264943,17737,0.001027,3.8282,1.2085,0.004753
Rio Grande do Norte,3506853,1972,0.000563,3.8282,1.0,0.002154
Rio Grande do Sul,11377239,16595,0.001459,3.8282,1.0,0.005584
Rondonia,1777225,1955,0.001101,3.8282,1.2319,0.00519
Roraima,605761,1355,0.002239,3.8282,1.0,0.008569
Santa Catarina,7164788,10984,0.001533,3.8282,1.0,0.005869
Sao Paulo,45919049,60663,0.001321,3.8282,1.0,0.005057
Sergipe,2298696,1547,0.000673,3.8282,1.0,0.002578
Tocantins,1572866,2620,0.001666,3.8282,1.0,0.006379
