Name,Population,Cases in past week,Reported prevalence,Underreporting factor,Delay factor,Estimated prevalence
Entire country,37855702,5025,0.000133,2.2084,1.6465,0.000483
Alberta,4413146,1135,0.000257,2.2858,2.0,0.001177
British Columbia,5110917,1047,0.000205,2.2516,2.0,0.000923
Manitoba,1377517,147,0.000107,2.2574,1.0,0.000243
New Brunswick,779993,33,4.4e-05,2.1924,2.0,0.000191
Newfoundland and Labrador,521365,0,2e-06,2.0,1.0,4e-06
Northwest Territories,44904,0,2.2e-05,2.0,1.0,4.5e-05
Nova Scotia,977457,5,6e-06,2.0304,1.0,1.2e-05
Ontario,14711827,1338,9.1e-05,2.1932,1.2389,0.000247
Prince Edward Island,158158,0,6e-06,2.0,1.0,1.3e-05
Quebec,8537674,891,0.000104,2.3058,2.0,0.000482
Saskatchewan,1181666,384,0.000326,2.6093,1.536,0.001306
Yukon,41078,45,0.00112,2.768,1.0,0.0031
Nunavut,38780,0,2.6e-05,3.8282,1.0,9.9e-05
