Name,Population,Cases in past week,Reported prevalence,Underreporting factor,Delay factor,Estimated prevalence
Entire state,14711827,1338,9.1e-05,2.1932,1.2389,0.000247
Algoma,117036,0,9e-06,2.1932,1.0,1.9e-05
Brant,151034,10,7.3e-05,2.1932,1.0,0.00016
Chatham-Kent,106091,16,0.00016,2.1932,2.0,0.000703
Durham,697355,68,9.9e-05,2.1932,1.1724,0.000254
Eastern,213064,8,4.2e-05,2.1932,1.0,9.3e-05
Grey Bruce,173372,59,0.000346,2.1932,1.0,0.000759
Haldimand-Norfolk,119146,9,8.4e-05,2.1932,1.8,0.000331
Haliburton Kawartha Pineridge,189982,26,0.000142,2.1932,1.625,0.000507
Halton,596363,52,8.9e-05,2.1932,1.2683,0.000247
Hamilton,574263,118,0.000207,2.1932,2.0,0.000909
Hastings Prince Edward,170793,4,2.9e-05,2.1932,1.0,6.4e-05
Huron Perth,144801,3,2.8e-05,2.1932,1.0,6.1e-05
Kingston Frontenac Lennox & Addington,208613,1,1e-05,2.1932,1.0,2.1e-05
Lambton,132243,5,4.5e-05,2.1932,1.25,0.000124
Leeds Grenville and Lanark,177605,0,6e-06,2.1932,1.0,1.2e-05
Middlesex-London,506008,47,9.5e-05,2.1932,1.0,0.000208
Niagara,479183,23,5e-05,2.1932,1.0455,0.000115
North Bay Parry Sound,129642,5,4.6e-05,2.1932,1.0,0.000102
Northwestern,81472,0,1.2e-05,2.1932,1.0,2.7e-05
Ottawa,1028514,45,4.5e-05,2.1932,1.3235,0.00013
Peel,1542001,176,0.000115,2.1932,1.3134,0.000331
Peterborough,147908,13,9.5e-05,2.1932,2.0,0.000415
Porcupine,85422,12,0.000152,2.1932,1.0,0.000334
Renfrew,107955,5,5.6e-05,2.1932,1.0,0.000122
Simcoe Muskoka,594494,29,5e-05,2.1932,1.3182,0.000146
Southwestern,215401,18,8.8e-05,2.1932,1.0588,0.000205
Sudbury,204640,5,2.9e-05,2.1932,1.6667,0.000107
Thunder Bay,158165,2,1.9e-05,2.1932,2.0,8.3e-05
Timiskaming,33800,0,3e-05,2.1932,1.0,6.5e-05
Toronto,2965712,202,6.8e-05,2.1932,1.0,0.00015
Waterloo,595465,121,0.000205,2.1932,1.1748,0.000528
Wellington Dufferin Guelph,308963,18,6.1e-05,2.1932,1.0,0.000135
Windsor-Essex,428556,27,6.5e-05,2.1932,2.0,0.000287
York,1181485,96,8.2e-05,2.1932,1.4769,0.000266
