Name,Population,Cases in past week,Reported prevalence,Underreporting factor,Delay factor,Estimated prevalence
Entire state,8537674,891,0.000104,2.3058,2.0,0.000482
Abitibi-Témiscamingue,147542,3,2.7e-05,2.3058,1.5,9.4e-05
Bas-Saint-Laurent,197322,2,1.5e-05,2.3058,1.0,3.5e-05
Capitale-Nationale,750645,29,4e-05,2.3058,1.0,9.2e-05
Chaudière-Appalaches,428618,2,7e-06,2.3058,1.0,1.6e-05
Côte-Nord,90704,2,3.3e-05,2.3058,1.0,7.6e-05
Estrie,489479,35,7.4e-05,2.3058,2.0,0.000339
Gaspésie-Îles-de-la-Madeleine,90334,1,2.2e-05,2.3058,1.0,5.1e-05
Lanaudière,515448,41,8.1e-05,2.3058,1.4138,0.000266
Laurentides,620264,62,0.000102,2.3058,2.0,0.000468
Laval,438973,123,0.000282,2.3058,1.0885,0.000709
Mauricie,520285,97,0.000188,2.3058,2.0,0.000869
Montérégie,1421586,113,8e-05,2.3058,1.9483,0.00036
Montréal,2052910,349,0.00017,2.3058,2.0,0.000786
Nord-du-Québec,13633,0,7.3e-05,2.3058,1.0,0.000169
Nunavik,14102,0,7.1e-05,2.3058,1.0,0.000164
Outaouais,397193,14,3.8e-05,2.3058,2.0,0.000174
Saguenay,277796,2,1.1e-05,2.3058,1.0,2.5e-05
Terres-Cries-de-la-Baie-James,18131,0,5.5e-05,2.3058,1.0,0.000127
