Name,Population,Cases in past week,Reported prevalence,Underreporting factor,Delay factor,Estimated prevalence
Entire country,19116209,7765,0.000406,2.2773,1.0,0.000925
Antofagasta,607534,197,0.000326,2.2773,1.0,0.000742
Araucania,957224,541,0.000566,2.2773,1.0,0.001289
Arica y Parinacota,226068,110,0.000491,2.2773,1.0,0.001118
Atacama,288944,167,0.000581,2.2773,1.0,0.001324
Aysen,103158,12,0.000126,2.2773,1.0,0.000287
Biobio,1556805,685,0.000441,2.2773,1.0,0.001003
Coquimbo,757586,299,0.000396,2.2773,1.0,0.000902
Los Lagos,828708,410,0.000496,2.2773,1.0,0.001129
Los Rios,384837,416,0.001084,2.2773,1.0,0.002468
Magallanes,166533,25,0.000156,2.2773,1.0,0.000356
Maule,1044950,512,0.000491,2.2773,1.0,0.001118
Metropolitana,7112808,3087,0.000434,2.2773,1.0098,0.000998
Nuble,480609,209,0.000437,2.2773,1.1297,0.001124
OHiggins,914555,238,0.000261,2.2773,1.0,0.000595
Tarapaca,330558,184,0.00056,2.2773,1.0,0.001274
Valparaiso,1815902,673,0.000371,2.2773,1.0,0.000845
