Name,Population,Cases in past week,Reported prevalence,Underreporting factor,Delay factor,Estimated prevalence
Entire country,50882884,66568,0.001308,2.7582,1.0,0.003608
Amazonas,76589,51,0.000679,2.7582,1.0,0.001873
Antioquia,6407102,9618,0.001501,2.7582,1.0,0.004141
Arauca,262174,273,0.001045,2.7582,1.0,0.002883
Atlantico,2535517,2804,0.001106,2.7582,1.0,0.003051
Bolivar,2070110,2202,0.001064,2.7582,1.0,0.002935
Boyaca,1217376,1319,0.001084,2.7582,1.0,0.002991
Caldas,998255,900,0.000903,2.7582,1.0,0.002489
Capital District,7412566,16932,0.002284,2.7582,1.0,0.006301
Caqueta,401489,289,0.000722,2.7582,1.0,0.001992
Casanare,420504,646,0.001539,2.7582,1.0,0.004244
Cauca,1464488,1724,0.001178,2.7582,1.0,0.003249
Cesar,1200574,800,0.000667,2.7582,1.0,0.00184
Choco,534826,203,0.000381,2.7582,1.0,0.001052
Cordoba,1784783,2212,0.00124,2.7582,1.0,0.00342
Cundinamarca,2919060,3690,0.001264,2.7582,1.0,0.003488
Guainia,48114,6,0.000145,2.7582,1.0,0.000401
Guaviare,82767,46,0.000568,2.7582,1.0,0.001566
Huila,1100386,1567,0.001425,2.7582,1.0,0.00393
La Guajira,880560,238,0.000271,2.7582,1.0,0.000749
Magdalena,1341746,1202,0.000897,2.7582,1.0,0.002473
Meta,1039722,1161,0.001118,2.7582,1.0,0.003083
Narino,1630592,1024,0.000629,2.7582,1.0,0.001734
Norte de Santander,1491689,1502,0.001008,2.7582,1.0,0.002779
Putumayo,348182,323,0.000931,2.7582,1.0,0.002567
Quindio,539904,706,0.001309,2.7582,1.0,0.003612
Risaralda,943401,1064,0.001129,2.7582,1.0,0.003114
San Andres y Providencia,61280,29,0.00049,2.7582,1.0,0.00135
Santander,2184837,3591,0.001644,2.7582,1.0928,0.004956
Sucre,904863,866,0.000958,2.7582,1.0,0.002643
Tolima,1330187,1308,0.000984,2.7582,1.0,0.002714
Valle del Cauca,4475886,8225,0.001838,2.7582,1.0,0.005069
Vaupes,40797,11,0.000294,2.7582,1.0,0.000811
Vichada,107808,36,0.000343,2.7582,1.0,0.000947
