Name,Population,Cases in past week,Reported prevalence,Underreporting factor,Delay factor,Estimated prevalence
Entire country,65273512,146834,0.00225,2.3791,1.2055,0.006452
French Guiana,298682,621,0.002082,2.3791,1.0,0.004954
French Polynesia,280904,763,0.00272,2.3791,2.0,0.012941
Guadeloupe,400127,331,0.00083,2.3791,1.9133,0.003777
Martinique,375265,2251,0.006001,2.3791,1.0436,0.014899
Mayotte,272813,29,0.00011,2.3791,2.0,0.000523
New Caledonia,285491,3,1.4e-05,2.3791,1.5,5e-05
Reunion,895308,2616,0.002923,2.3791,1.9818,0.013782
Saint Barthelemy,9885,0,0.000101,2.3791,1.0,0.000241
Saint Pierre and Miquelon,5795,0,0.000173,2.3791,1.0,0.000411
St Martin,38659,98,0.002561,2.3791,2.0,0.012185
Wallis and Futuna,15289,0,6.5e-05,2.3791,1.0,0.000156
