Name,Population,Cases in past week,Reported prevalence,Underreporting factor,Delay factor,Estimated prevalence
Entire country,83783945,15259,0.000182,2.2773,1.4152,0.000587
Baden-Wurttemberg,11069533,1655,0.00015,2.2773,1.1541,0.000393
Bayern,13076721,1842,0.000141,2.2773,1.1023,0.000354
Berlin,3644826,1030,0.000283,2.2773,1.8039,0.001162
Brandenburg,2511917,215,8.6e-05,2.2773,1.8376,0.00036
Bremen,682986,171,0.000252,2.2773,1.5405,0.000883
Hamburg,1841179,717,0.00039,2.2773,1.4142,0.001256
Hessen,6265809,1199,0.000192,2.2773,1.0821,0.000472
Mecklenburg-Vorpommern,1609675,134,8.4e-05,2.2773,1.6145,0.000308
Niedersachsen,7982448,1431,0.000179,2.2773,1.0932,0.000447
Nordrhein-Westfalen,17932651,4529,0.000253,2.2773,1.4932,0.000859
Rheinland-Pfalz,4084844,767,0.000188,2.2773,1.0803,0.000463
Saarland,990509,212,0.000215,2.2773,1.0,0.00049
Sachsen,4077937,276,6.8e-05,2.2773,1.4839,0.00023
Sachsen-Anhalt,2208321,139,6.3e-05,2.2773,1.8784,0.000271
Schleswig-Holstein,2896712,706,0.000244,2.2773,1.673,0.00093
Thuringen,2143145,153,7.2e-05,2.2773,1.1418,0.000187
