Name,Population,Cases in past week,Reported prevalence,Underreporting factor,Delay factor,Estimated prevalence
Entire country,1380004385,284696,0.000206,2.2832,1.0661,0.000502
Andaman and Nicobar Islands,417036,10,2.6e-05,2.2832,1.0,6e-05
Andhra Pradesh,53903393,13697,0.000254,2.2832,1.0,0.00058
Arunachal Pradesh,1570458,2393,0.001524,2.2832,1.0,0.003481
Assam,35607039,8491,0.000238,2.2832,1.0,0.000545
Bihar,124799926,409,3e-06,2.2832,1.0,8e-06
Chandigarh,1158473,27,2.4e-05,2.2832,1.0,5.5e-05
Chhattisgarh,29436231,1055,3.6e-05,2.2832,1.0,8.2e-05
Dadra and Nagar Haveli and Daman and Diu,615724,13,2.3e-05,2.2832,1.0,5.2e-05
Delhi,18710922,440,2.4e-05,2.2832,1.1549,6.2e-05
Goa,1586250,714,0.000451,2.2832,1.0,0.001029
Gujarat,63872399,187,3e-06,2.2832,1.0,7e-06
Haryana,28204692,203,7e-06,2.2832,1.015,1.7e-05
Himachal Pradesh,7451955,1100,0.000148,2.2832,1.6418,0.000554
Jammu and Kashmir,13606320,950,7e-05,2.2832,1.2566,0.000201
Jharkhand,38593948,254,7e-06,2.2832,1.0,1.5e-05
Karnataka,67562686,12442,0.000184,2.2832,1.1727,0.000493
Kerala,35699443,139959,0.003921,2.2832,1.2655,0.011328
Ladakh,274289,40,0.000149,2.2832,1.0,0.000341
Madhya Pradesh,85358965,95,1e-06,2.2832,1.0326,3e-06
Maharashtra,123144223,45272,0.000368,2.2832,1.0,0.000839
Manipur,3091545,6664,0.002156,2.2832,1.0,0.004922
Meghalaya,3366710,4395,0.001306,2.2832,1.1548,0.003443
Mizoram,1239244,5911,0.004771,2.2832,1.0,0.010892
Nagaland,2249695,637,0.000284,2.2832,1.0176,0.000659
Odisha,46356334,11157,0.000241,2.2832,1.0,0.00055
Puducherry,1413542,674,0.000478,2.2832,1.0732,0.00117
Punjab,30141373,336,1.1e-05,2.2832,1.0,2.6e-05
Rajasthan,81032689,146,2e-06,2.2832,1.0,4e-06
Sikkim,690251,1594,0.002311,2.2832,1.0,0.005276
Tamil Nadu,77841267,13090,0.000168,2.2832,1.0,0.000384
Telangana,39362732,4253,0.000108,2.2832,1.0,0.000247
Tripura,4169794,2183,0.000524,2.2832,1.0,0.001196
Uttar Pradesh,237882725,321,1e-06,2.2832,1.0422,3e-06
Uttarakhand,11250858,437,3.9e-05,2.2832,1.6066,0.000143
West Bengal,99609303,5081,5.1e-05,2.2832,1.0,0.000116
Lakshadweep,64429,66,0.00104,2.2832,1.0154,0.002411
