Name,Population,Cases in past week,Reported prevalence,Underreporting factor,Delay factor,Estimated prevalence
Entire country,60461828,37933,0.000627,2.2773,1.2662,0.001809
Abruzzo,1311580,495,0.000378,2.2773,1.3061,0.001125
Basilicata,562869,201,0.000359,2.2773,1.5227,0.001244
Calabria,1947131,882,0.000453,2.2773,1.5835,0.001635
Campania,5801692,2279,0.000393,2.2773,1.1802,0.001056
Emilia-Romagna,4459477,3512,0.000788,2.2773,1.3119,0.002353
Friuli Venezia Giulia,1215220,511,0.000421,2.2773,1.6171,0.001552
Lazio,5879082,4948,0.000842,2.2773,1.0135,0.001943
Liguria,1550640,912,0.000589,2.2773,1.2918,0.001732
Lombardia,10060574,4176,0.000415,2.2773,1.2218,0.001155
Marche,1525271,826,0.000542,2.2773,1.5018,0.001854
Molise,305617,60,0.0002,2.2773,1.0345,0.00047
P.A. Bolzano,532318,166,0.000314,2.2773,1.1216,0.000801
P.A. Trento,541418,230,0.000427,2.2773,1.0,0.000972
Piemonte,4356406,1377,0.000316,2.2773,1.6452,0.001185
Puglia,4029053,1140,0.000283,2.2773,1.3365,0.000862
Sardegna,1639591,2259,0.001378,2.2773,1.3859,0.00435
Sicilia,4999891,4445,0.000889,2.2773,1.2347,0.0025
Toscana,3729641,4104,0.001101,2.2773,1.5815,0.003964
Umbria,882015,734,0.000833,2.2773,1.337,0.002537
Valle d'Aosta,125666,26,0.000215,2.2773,1.0,0.000489
Veneto,4905854,4650,0.000948,2.2773,1.2028,0.002597
