Name,Population,Cases in past week,Reported prevalence,Underreporting factor,Delay factor,Estimated prevalence
Entire country,126476458,65885,0.000521,2.5752,2.0,0.002683
Aichi,7552239,1507,0.0002,2.5752,2.0,0.001028
Akita,966490,27,2.9e-05,2.5752,1.35,0.000101
Aomori,1246371,96,7.8e-05,2.5752,2.0,0.000401
Chiba,6259382,4403,0.000704,2.5752,2.0,0.003624
Ehime,1339215,94,7.1e-05,2.5752,2.0,0.000365
Fukui,767937,159,0.000208,2.5752,2.0,0.001073
Fukuoka,5103679,2595,0.000509,2.5752,2.0,0.00262
Fukushima,1845519,581,0.000315,2.5752,2.0,0.001624
Gifu,1986587,165,8.4e-05,2.5752,2.0,0.00043
Gunma,1942456,597,0.000308,2.5752,2.0,0.001586
Hiroshima,2804177,360,0.000129,2.5752,2.0,0.000663
Hokkaido,5250049,1569,0.000299,2.5752,2.0,0.00154
Hyogo,5466190,1780,0.000326,2.5752,2.0,0.001678
Ibaraki,2860307,1138,0.000398,2.5752,2.0,0.002051
Ishikawa,1137649,645,0.000568,2.5752,1.9545,0.002858
Iwate,1226816,99,8.2e-05,2.5752,1.7368,0.000365
Kagawa,956347,146,0.000154,2.5752,2.0,0.000792
Kagoshima,1602273,152,9.5e-05,2.5752,1.1783,0.00029
Kanagawa,9198268,7769,0.000845,2.5752,2.0,0.004351
Kochi,698029,104,0.00015,2.5752,2.0,0.000775
Kumamoto,1747567,422,0.000242,2.5752,2.0,0.001247
Kyoto,2582957,1043,0.000404,2.5752,2.0,0.002082
Mie,1780882,222,0.000125,2.5752,1.9821,0.000639
Miyagi,2306365,269,0.000117,2.5752,2.0,0.000603
Miyazaki,1073301,80,7.5e-05,2.5752,2.0,0.000389
Nagano,2048790,197,9.7e-05,2.5752,2.0,0.000498
Nagasaki,1326524,163,0.000124,2.5752,2.0,0.000637
Nara,1330123,366,0.000276,2.5752,2.0,0.001421
Niigata,2223106,318,0.000143,2.5752,1.8596,0.000687
Oita,1135434,123,0.000109,2.5752,2.0,0.000562
Okayama,1889586,411,0.000218,2.5752,2.0,0.001123
Okinawa,1453168,2397,0.00165,2.5752,2.0,0.008499
Osaka,8809363,5657,0.000642,2.5752,2.0,0.003308
Saga,814711,122,0.000151,2.5752,2.0,0.000778
Saitama,7349693,5564,0.000757,2.5752,2.0,0.0039
Shiga,1413943,287,0.000204,2.5752,2.0,0.001049
Shimane,674346,74,0.000111,2.5752,1.0,0.000286
Shizuoka,3643528,769,0.000211,2.5752,2.0,0.001088
Tochigi,1933990,758,0.000392,2.5752,2.0,0.002021
Tokushima,727977,55,7.7e-05,2.5752,1.4474,0.000287
Tokyo,13920663,21735,0.001561,2.5752,2.0,0.008042
Tottori,555558,155,0.000281,2.5752,1.9136,0.001384
Toyama,1043502,152,0.000147,2.5752,2.0,0.000755
Wakayama,924933,200,0.000217,2.5752,2.0,0.001119
Yamagata,1077666,76,7.1e-05,2.5752,2.0,0.000368
Yamaguchi,1358336,95,7.1e-05,2.5752,2.0,0.000364
Yamanashi,810956,189,0.000234,2.5752,2.0,0.001207
