Name,Population,Cases in past week,Reported prevalence,Underreporting factor,Delay factor,Estimated prevalence
Entire country,127792286,106474,0.000833,3.1519,1.1912,0.003128
Aguascalientes,1434635,500,0.000349,3.1519,1.5337,0.001688
Baja California,3634868,629,0.000173,3.1519,1.2166,0.000665
Baja California Sur,804708,1856,0.002308,3.1519,1.0,0.007274
Campeche,1000617,841,0.000841,3.1519,1.455,0.003859
Chiapas,5730367,1038,0.000181,3.1519,2.0,0.001143
Chihuahua,3801487,844,0.000222,3.1519,1.3085,0.000917
Ciudad de Mexico,9018645,28656,0.003178,3.1519,1.0622,0.010638
Coahuila,3218720,1381,0.000429,3.1519,1.3992,0.001894
Colima,785153,1828,0.002329,3.1519,1.6483,0.012102
Durango,1868996,1297,0.000694,3.1519,1.6888,0.003697
Guanajuato,6228175,2137,0.000343,3.1519,1.2163,0.001316
Guerrero,3657048,3949,0.00108,3.1519,1.4588,0.004966
Hidalgo,3086414,1902,0.000617,3.1519,1.331,0.002587
Jalisco,8409693,6780,0.000806,3.1519,1.2725,0.003234
Mexico,17427790,11104,0.000637,3.1519,1.1586,0.002327
Michoacan,4825401,1971,0.000409,3.1519,1.4293,0.001841
Morelos,2044058,815,0.000399,3.1519,1.3979,0.001759
Nayarit,1288571,2679,0.00208,3.1519,1.2613,0.008268
Nuevo Leon,5610153,6033,0.001076,3.1519,1.3943,0.004727
Oaxaca,4143593,2387,0.000576,3.1519,1.3798,0.002506
Puebla,6604451,1916,0.00029,3.1519,1.4341,0.001312
Queretaro,2279637,1164,0.000511,3.1519,1.0,0.001611
Quintana Roo,1723259,2822,0.001638,3.1519,1.0887,0.005622
San Luis Potosi,2866142,2727,0.000952,3.1519,1.818,0.005454
Sinaloa,3156674,3792,0.001202,3.1519,1.0,0.003787
Sonora,3074745,2706,0.00088,3.1519,1.175,0.00326
Tabasco,2572287,3019,0.001174,3.1519,1.19,0.004404
Tamaulipas,3650602,1958,0.000537,3.1519,1.2495,0.002113
Tlaxcala,1380011,507,0.000368,3.1519,1.4569,0.00169
Veracruz,8539862,4728,0.000554,3.1519,1.1709,0.002044
Yucatan,2259098,1527,0.000676,3.1519,1.0,0.002132
Zacatecas,1666426,981,0.000589,3.1519,1.3063,0.002426
