Name,Population,Cases in past week,Reported prevalence,Underreporting factor,Delay factor,Estimated prevalence
Entire country,17134873,25174,0.001469,2.5235,1.0,0.003708
Drenthe,493682,383,0.000778,2.5235,1.0,0.001963
Flevoland,423021,650,0.001539,2.5235,1.0,0.003883
Friesland,649957,702,0.001082,2.5235,1.0,0.002729
Gelderland,2085952,2407,0.001154,2.5235,1.0,0.002913
Groningen,585866,637,0.001089,2.5235,1.0,0.002748
Limburg,1117201,1700,0.001523,2.5235,1.0,0.003842
Noord-Brabant,2562955,3698,0.001443,2.5235,1.0,0.003642
Noord-Holland,2879527,4605,0.0016,2.5235,1.0,0.004037
Overijssel,1162406,1496,0.001288,2.5235,1.0,0.00325
Utrecht,1354834,1558,0.001151,2.5235,1.0,0.002904
Zeeland,383488,386,0.001009,2.5235,1.0,0.002547
Zuid-Holland,3708696,5802,0.001565,2.5235,1.0,0.003949
Aruba,106766,383,0.003597,2.5235,2.0,0.018152
Curacao,164100,417,0.002547,2.5235,1.0,0.006428
Sint Maarten,42882,63,0.001492,2.5235,1.4651,0.005518
Bonaire, Sint Eustatius and Saba,26221,17,0.000686,2.5235,1.0,0.001732
