Name,Population,Cases in past week,Reported prevalence,Underreporting factor,Delay factor,Estimated prevalence
Entire country,32971846,8807,0.000267,2.4005,1.0,0.000641
Amazonas,426800,203,0.000478,2.4005,2.0,0.002295
Ancash,1180600,494,0.000419,2.4005,2.0,0.002013
Apurimac,430700,174,0.000406,2.4005,2.0,0.001951
Arequipa,1497400,1669,0.001115,2.4005,2.0,0.005354
Ayacucho,668200,345,0.000518,2.4005,2.0,0.002486
Cajamarca,1453700,520,0.000358,2.4005,2.0,0.001721
Callao,1129900,335,0.000297,2.4005,2.0,0.001428
Cusco,1357100,699,0.000516,2.4005,2.0,0.002476
Huancavelica,365300,127,0.00035,2.4005,2.0,0.001682
Huanuco,760300,349,0.00046,2.4005,2.0,0.00221
Ica,975200,308,0.000317,2.4005,2.0,0.001521
Junin,1361500,750,0.000552,2.4005,2.0,0.002648
La Libertad,2016800,522,0.000259,2.4005,2.0,0.001245
Lambayeque,1310800,327,0.00025,2.4005,2.0,0.001201
Lima,10628500,4023,0.000379,2.4005,2.0,0.001818
Loreto,1027600,617,0.000601,2.4005,2.0,0.002887
Madre de Dios,173800,36,0.000213,2.4005,2.0,0.001022
Moquegua,192700,547,0.002844,2.4005,2.0,0.013653
Pasco,271900,128,0.000474,2.4005,2.0,0.002278
Piura,2048000,479,0.000234,2.4005,2.0,0.001125
Puno,1238000,524,0.000424,2.4005,2.0,0.002036
San Martin,899600,426,0.000475,2.4005,2.0,0.002279
Tacna,371000,335,0.000906,2.4005,2.0,0.004348
Tumbes,251500,150,0.0006,2.4005,2.0,0.002883
Ucayali,589100,63,0.000109,2.4005,2.0,0.000522
