Name,Population,Cases in past week,Reported prevalence,Underreporting factor,Delay factor,Estimated prevalence
Entire country,19237682,1049,5.5e-05,2.1917,1.5894,0.00019
Alba,323778,9,3.1e-05,2.1917,1.2857,8.7e-05
Arad,415732,21,5.3e-05,2.1917,2.0,0.000232
Argeș,574920,16,3e-05,2.1917,2.0,0.00013
Bacău,580912,26,4.6e-05,2.1917,1.3,0.000132
Bihor,559992,18,3.4e-05,2.1917,2.0,0.000149
Bistrița-Năsăud,277724,14,5.4e-05,2.1917,1.5556,0.000184
Botoșani,376304,10,2.9e-05,2.1917,1.6667,0.000107
Brașov,553278,18,3.4e-05,2.1917,2.0,0.000151
Brăila,285851,12,4.5e-05,2.1917,2.0,0.000199
București,1832883,292,0.00016,2.1917,2.0,0.000701
Buzău,409060,6,1.7e-05,2.1917,1.0,3.8e-05
Caraș-Severin,269470,3,1.5e-05,2.1917,1.0,3.3e-05
Călărași,280099,29,0.000107,2.1917,2.0,0.000469
Cluj,709445,74,0.000106,2.1917,2.0,0.000463
Constanța,671910,85,0.000128,2.1917,2.0,0.000561
Covasna,201437,1,1e-05,2.1917,1.0,2.2e-05
Dâmbovița,486964,18,3.9e-05,2.1917,2.0,0.000171
Dolj,621046,25,4.2e-05,2.1917,1.4706,0.000135
Galați,499650,19,4e-05,2.1917,2.0,0.000175
Giurgiu,263194,12,4.9e-05,2.1917,2.0,0.000217
Gorj,311918,5,1.9e-05,2.1917,2.0,8.4e-05
Harghita,301450,3,1.3e-05,2.1917,1.0,2.9e-05
Hunedoara,379987,13,3.7e-05,2.1917,1.0,8.1e-05
Ialomița,254130,1,8e-06,2.1917,1.0,1.7e-05
Iași,791665,62,8e-05,2.1917,1.4762,0.000257
Ilfov,486644,85,0.000177,2.1917,1.9318,0.000748
Maramureș,458471,14,3.3e-05,2.1917,1.0,7.2e-05
Mehedinți,238867,4,2.1e-05,2.1917,2.0,9.2e-05
Mureș,533064,16,3.2e-05,2.1917,2.0,0.00014
Neamț,438221,13,3.2e-05,2.1917,1.625,0.000114
Olt,389603,9,2.6e-05,2.1917,2.0,0.000113
Prahova,712254,40,5.8e-05,2.1917,2.0,0.000252
Satu Mare,331109,27,8.5e-05,2.1917,1.8,0.000334
Sălaj,209893,4,2.4e-05,2.1917,1.0,5.2e-05
Sibiu,401168,8,2.2e-05,2.1917,1.3333,6.6e-05
Suceava,622533,28,4.7e-05,2.1917,2.0,0.000204
Teleorman,328683,12,4e-05,2.1917,2.0,0.000173
Timiș,705745,69,9.9e-05,2.1917,2.0,0.000435
Tulcea,192037,8,4.7e-05,2.1917,2.0,0.000205
Vaslui,371156,10,3e-05,2.1917,1.25,8.1e-05
Vâlcea,348318,4,1.4e-05,2.1917,2.0,6.3e-05
Vrancea,317419,2,9e-06,2.1917,1.0,2.1e-05
