Name,Population,Cases in past week,Reported prevalence,Underreporting factor,Delay factor,Estimated prevalence
Entire country,145934460,158298,0.001085,2.4005,1.0,0.002604
Adygea Republic,453376,385,0.000851,2.4005,1.1957,0.002444
Altai Krai,2350080,1907,0.000812,2.4005,1.0026,0.001954
Altai Republic,218063,375,0.001724,2.4005,1.0163,0.004206
Amur Oblast,798424,938,0.001176,2.4005,1.0819,0.003054
Arkhangelsk Oblast,1155028,1498,0.001298,2.4005,1.0,0.003115
Astrakhan Oblast,1017514,2030,0.001996,2.4005,1.0486,0.005024
Bashkortostan Republic,4063293,1801,0.000443,2.4005,1.0374,0.001104
Belgorod Oblast,1549876,986,0.000637,2.4005,1.0134,0.001549
Bryansk Oblast,1210982,1914,0.001581,2.4005,1.0,0.003796
Buryatia Republic,984511,1488,0.001512,2.4005,1.0,0.003631
Chechen Republic,1436981,871,0.000607,2.4005,1.0,0.001457
Chelyabinsk Oblast,3493036,2320,0.000664,2.4005,1.0918,0.001741
Chukotka Autonomous Okrug,49348,82,0.001682,2.4005,1.0,0.004038
Chuvashia Republic,1231117,514,0.000418,2.4005,1.0936,0.001098
Dagestan Republic,3063885,1413,0.000462,2.4005,1.0064,0.001115
Ingushetia Republic,488043,388,0.000797,2.4005,1.0319,0.001974
Irkutsk Oblast,2404195,2775,0.001155,2.4005,1.0,0.002772
Ivanovo Oblast,1014646,800,0.000789,2.4005,1.0336,0.001959
Jewish Autonomous Okrug,162014,272,0.001685,2.4005,1.0037,0.00406
Kabardino-Balkarian Republic,865828,609,0.000705,2.4005,1.1133,0.001883
Kaliningrad Oblast,994599,1480,0.001489,2.4005,1.0,0.003574
Kalmykia Republic,275413,821,0.002985,2.4005,1.0366,0.007427
Kaluga Oblast,1012056,964,0.000954,2.4005,1.0366,0.002373
Kamchatka Krai,315557,374,0.001188,2.4005,1.0303,0.002939
Karachay-Cherkess Republic,466305,407,0.000875,2.4005,1.0252,0.002153
Karelia Republic,622484,1173,0.001886,2.4005,1.0,0.004527
Kemerovo Oblast,2694877,1430,0.000531,2.4005,1.0273,0.001309
Khabarovsk Krai,1328302,2245,0.001691,2.4005,1.0,0.004059
Khakassia Republic,537513,1251,0.002329,2.4005,1.0056,0.005623
Khanty-Mansi Autonomous Okrug,1532243,1380,0.000901,2.4005,1.0632,0.0023
Kirov Oblast,1283238,855,0.000667,2.4005,1.0094,0.001616
Komi Republic,840873,1949,0.002319,2.4005,1.0,0.005567
Kostroma Oblast,643324,962,0.001497,2.4005,1.0,0.003593
Krasnodar Krai,5603420,1833,0.000327,2.4005,1.0682,0.000839
Krasnoyarsk Krai,2876497,3376,0.001174,2.4005,1.0,0.002818
Kurgan Oblast,845537,896,0.001061,2.4005,1.0492,0.002672
Kursk Oblast,1115237,1334,0.001197,2.4005,1.0,0.002874
Leningrad Oblast,1813816,1693,0.000934,2.4005,1.0,0.002242
Lipetsk Oblast,1150201,1707,0.001485,2.4005,1.0,0.003565
Magadan Oblast,144091,205,0.00143,2.4005,1.0459,0.00359
Mari El Republic,682333,422,0.00062,2.4005,1.0193,0.001517
Mordovia Republic,805056,483,0.000601,2.4005,1.0387,0.001499
Moscow,12506468,20532,0.001642,2.4005,1.0,0.003941
Moscow Oblast,7503385,11611,0.001548,2.4005,1.0,0.003715
Murmansk Oblast,753557,1752,0.002326,2.4005,1.0,0.005584
Nenets Autonomous Okrug,43997,80,0.001841,2.4005,1.0,0.004419
Nizhny Novgorod Oblast,3234752,3758,0.001162,2.4005,1.007,0.002809
North Ossetia - Alania Republic,701765,440,0.000628,2.4005,1.1796,0.001779
Novgorod Oblast,606476,1093,0.001804,2.4005,1.0158,0.004399
Novosibirsk Oblast,2788849,1420,0.00051,2.4005,1.0114,0.001237
Omsk Oblast,1960081,2643,0.001349,2.4005,1.0418,0.003373
Orel Oblast,747247,581,0.000779,2.4005,1.0,0.00187
Orenburg Oblast,1977720,2283,0.001155,2.4005,1.0861,0.003011
Penza Oblast,1331655,1627,0.001223,2.4005,1.0,0.002935
Perm Krai,2623122,3112,0.001187,2.4005,1.0679,0.003042
Primorsky Krai,1913037,1816,0.00095,2.4005,1.0,0.00228
Pskov Oblast,636546,827,0.001301,2.4005,1.0,0.003123
Rostov Oblast,4220452,2854,0.000676,2.4005,1.1348,0.001843
Ryazan Oblast,1121474,903,0.000806,2.4005,1.0,0.001935
Saint Petersburg,5351935,13437,0.002511,2.4005,1.0,0.006027
Sakha (Yakutiya) Republic,964330,914,0.000949,2.4005,1.2385,0.002821
Sakhalin Oblast,490181,749,0.00153,2.4005,1.049,0.003853
Samara Oblast,3193514,2831,0.000887,2.4005,1.3186,0.002807
Saratov Oblast,2462950,1762,0.000716,2.4005,1.0463,0.001798
Smolensk Oblast,949348,1316,0.001387,2.4005,1.0,0.00333
Stavropol Krai,2800674,2184,0.00078,2.4005,1.1064,0.002072
Sverdlovsk Oblast,4325256,3517,0.000813,2.4005,1.0251,0.002001
Tambov Oblast,1033552,664,0.000643,2.4005,1.0,0.001545
Tatarstan Republic,3894284,358,9.2e-05,2.4005,1.0,0.000221
Tomsk Oblast,1078280,844,0.000784,2.4005,1.0293,0.001936
Tula Oblast,1491855,992,0.000666,2.4005,1.0,0.001598
Tver Oblast,1283873,1803,0.001405,2.4005,1.0,0.003373
Tyumen Oblast,3692400,1940,0.000526,2.4005,1.0453,0.001319
Tyva Republic,321722,1201,0.003736,2.4005,1.0,0.008969
Udmurt Republic,1513044,1075,0.000711,2.4005,1.0623,0.001813
Ulyanovsk Oblast,1246618,1822,0.001462,2.4005,1.005,0.003528
Vladimir Oblast,1378337,1469,0.001067,2.4005,1.0,0.00256
Volgograd Oblast,2521276,2222,0.000882,2.4005,1.0141,0.002146
Vologda Oblast,1176689,1592,0.001354,2.4005,1.0,0.00325
Voronezh Oblast,2333768,3370,0.001444,2.4005,1.0249,0.003554
Yamalo-Nenets Autonomous Okrug,538547,915,0.001701,2.4005,1.0481,0.004279
Yaroslavl Oblast,1265684,1400,0.001107,2.4005,1.0014,0.002661
Zabaykalsky Krai,1072806,1983,0.001849,2.4005,1.0,0.004439
