Name,Population,Cases in past week,Reported prevalence,Underreporting factor,Delay factor,Estimated prevalence
Entire country,46754783,166615,0.003564,2.7009,1.0,0.009625
Andalusia,8427405,28550,0.003388,2.7009,1.1907,0.010895
Aragon,1320586,3868,0.00293,2.7009,1.0,0.007913
Asturias,1022205,2533,0.002479,2.7009,1.0,0.006695
Baleares,1188220,5839,0.004915,2.7009,1.0,0.013275
Canarias,2206901,5592,0.002534,2.7009,1.085,0.007427
Cantabria,581641,1924,0.00331,2.7009,1.0,0.008939
Castilla - La Mancha,2034877,5724,0.002813,2.7009,1.3443,0.010215
Castilla y Leon,2407733,8287,0.003442,2.7009,1.0,0.009297
Catalonia,7566431,31944,0.004222,2.7009,1.0,0.011403
Ceuta,84829,123,0.001462,2.7009,1.0982,0.004336
C. Valenciana,4974969,15896,0.003195,2.7009,1.0,0.008631
Extremadura,1065424,3310,0.003108,2.7009,1.0562,0.008865
Galicia,2700441,9436,0.003495,2.7009,1.0,0.009439
Madrid,6641649,27376,0.004122,2.7009,1.0303,0.011471
Melilla,84689,100,0.001193,2.7009,1.0,0.003221
Murcia,1487663,3713,0.002497,2.7009,1.07,0.007215
Navarra,649946,2711,0.004173,2.7009,1.0,0.01127
Pais Vasco,2177880,8433,0.003873,2.7009,1.0,0.01046
La Rioja,313571,1256,0.004009,2.7009,1.0,0.010827
