Name,Population,Cases in past week,Reported prevalence,Underreporting factor,Delay factor,Estimated prevalence
Entire country,10099270,3241,0.000321,2.2832,1.2902,0.000946
Blekinge,159606,10,6.9e-05,2.2832,1.0,0.000157
Dalarna,287966,30,0.000108,2.2832,1.6667,0.00041
Gavleborg,287382,51,0.000181,2.2832,1.5,0.00062
Gotland,59686,67,0.001139,2.2832,2.0,0.005203
Halland,333848,155,0.000467,2.2832,1.422,0.001517
Jamtland Harjedalen,130810,40,0.000313,2.2832,2.0,0.001431
Jonkoping,363599,59,0.000165,2.2832,1.2826,0.000483
Kalmar,245446,49,0.000204,2.2832,1.2564,0.000584
Kronoberg,201469,36,0.000184,2.2832,1.0,0.000419
Norrbotten,250093,40,0.000164,2.2832,1.0,0.000374
Orebro,304805,66,0.00022,2.2832,1.9412,0.000974
Ostergotland,465495,101,0.000219,2.2832,2.0,0.001001
Skane,1377827,488,0.000355,2.2832,1.261,0.001022
Sormland,297540,76,0.000259,2.2832,2.0,0.001182
Stockholm,2377081,1192,0.000502,2.2832,1.2547,0.001438
Uppsala,383713,86,0.000227,2.2832,1.4333,0.000742
Varmland,282414,73,0.000262,2.2832,1.1231,0.000672
Vasterbotten,271736,41,0.000155,2.2832,1.0,0.000353
Vasternorrland,245347,45,0.000187,2.2832,1.6071,0.000688
Vastmanland,275845,74,0.000272,2.2832,2.0,0.001242
Vastra Gotaland,1725881,462,0.000268,2.2832,1.0429,0.000639
