Name,Population,Cases in past week,Reported prevalence,Underreporting factor,Delay factor,Estimated prevalence
Entire state,1787065,2188,0.001225,2.6742,1.5194,0.004977
Ada,481587,677,0.001408,2.6438,1.5855,0.005901
Adams,4294,12,0.003027,2.8614,2.0,0.017325
Bannock,87808,81,0.000934,2.7104,1.4211,0.003597
Bear Lake,6125,6,0.001143,2.2585,1.0,0.002581
Benewah,9298,16,0.001828,3.0938,2.0,0.011313
Bingham,46811,24,0.000534,2.6742,1.1429,0.001632
Blaine,23021,12,0.000565,2.3878,1.0,0.001348
Boise,7831,13,0.001788,2.8862,1.8571,0.009583
Bonner,45739,36,0.000809,2.6541,1.8,0.003865
Bonneville,119062,100,0.000848,2.6692,1.4085,0.003189
Boundary,12245,3,0.000327,2.3747,1.0,0.000776
Butte,2597,1,0.00077,2.6742,1.0,0.002059
Camas,1106,0,0.000904,2.6742,1.0,0.002418
Canyon,229849,276,0.001205,2.7033,1.5862,0.005168
Caribou,7155,3,0.000559,2.4552,2.0,0.002745
Cassia,24030,20,0.000874,2.5106,1.3333,0.002925
Clark,845,0,0.001183,2.6742,1.0,0.003165
Clearwater,8756,10,0.001256,2.1828,2.0,0.005484
Custer,4315,2,0.000695,2.628,1.0,0.001827
Elmore,27511,46,0.001708,2.6412,2.0,0.009024
Franklin,13876,6,0.000504,2.4403,1.5,0.001847
Fremont,13099,19,0.001527,2.8536,2.0,0.008714
Gem,18112,18,0.001049,2.6226,1.3846,0.003809
Gooding,15179,14,0.000988,2.5545,2.0,0.005049
Idaho,16667,7,0.00048,2.2003,1.0,0.001056
Jefferson,29871,29,0.001004,2.8011,1.9333,0.005439
Jerome,24412,22,0.000942,2.4169,2.0,0.004554
Kootenai,165697,321,0.001943,2.7969,2.0,0.01087
Latah,40108,28,0.000723,2.9268,1.4737,0.003119
Lemhi,8027,3,0.000498,2.6742,1.0,0.001333
Lewis,3838,11,0.003127,2.628,2.0,0.016434
Lincoln,5366,0,0.000186,2.6742,1.0,0.000498
Madison,39907,44,0.001128,2.8011,1.2571,0.003971
Minidoka,21039,18,0.000903,2.2712,1.0,0.002051
Nez Perce,40408,86,0.002153,2.8073,2.0,0.012088
Oneida,4531,5,0.001324,2.6742,1.0,0.003541
Owyhee,11823,10,0.00093,2.6118,2.0,0.00486
Payette,23951,21,0.000919,2.5605,2.0,0.004704
Power,7681,2,0.000391,2.7927,1.0,0.001091
Shoshone,12882,33,0.002639,2.9517,1.0312,0.008034
Teton,12142,8,0.000741,2.5171,2.0,0.003731
Twin Falls,86878,208,0.002406,2.7244,1.8739,0.012281
Valley,11392,8,0.00079,2.3921,1.0,0.00189
Washington,10194,1,0.000196,2.2649,1.0,0.000444
