Name,Population,Cases in past week,Reported prevalence,Underreporting factor,Delay factor,Estimated prevalence
Entire state,1344212,558,0.000416,2.2585,1.3007,0.001222
Androscoggin,108277,22,0.000212,2.2312,1.4667,0.000695
Aroostook,67055,32,0.000492,2.1416,1.3333,0.001405
Cumberland,295003,117,0.0004,2.2239,1.4444,0.001285
Franklin,30199,8,0.000298,2.3166,1.0,0.00069
Hancock,54987,27,0.000509,2.2084,2.0,0.002249
Kennebec,122302,60,0.000499,2.252,1.6667,0.001872
Knox,39772,13,0.000352,2.2239,1.0,0.000783
Lincoln,34634,10,0.000318,2.2773,1.0,0.000723
Oxford,57975,21,0.000379,2.2585,2.0,0.001714
Penobscot,152148,69,0.00046,2.2585,1.6047,0.001667
Piscataquis,16785,3,0.000238,2.2239,1.0,0.00053
Sagadahoc,35856,5,0.000167,2.1734,1.0,0.000364
Somerset,50484,29,0.000594,2.3166,1.8125,0.002495
Waldo,39715,41,0.001058,2.4515,2.0,0.005185
Washington,31379,10,0.000351,2.1293,2.0,0.001493
York,207641,90,0.000438,2.327,1.0,0.00102
