Name,Population,Cases in past week,Reported prevalence,Underreporting factor,Delay factor,Estimated prevalence
Entire country,43733759,8657,0.000198,2.4732,1.1183,0.000548
Cherkasy Oblast,1206351,103,8.6e-05,2.4732,1.0404,0.000222
Chernihiv Oblast,1005745,70,7.1e-05,2.4732,1.7949,0.000313
Chernivtsi Oblast,904374,87,9.7e-05,2.4732,1.74,0.000419
Crimea Republic*,1913731,2663,0.001392,2.4732,1.0,0.003443
Dnipropetrovsk Oblast,3206477,263,8.2e-05,2.4732,1.335,0.000272
Donetsk Oblast,4165901,357,8.6e-05,2.4732,1.4512,0.000308
Ivano-Frankivsk Oblast,1373252,71,5.2e-05,2.4732,1.4792,0.000192
Kharkiv Oblast,2675598,338,0.000127,2.4732,1.5505,0.000486
Kherson Oblast,1037640,181,0.000175,2.4732,1.0,0.000434
Khmelnytskyi Oblast,1264705,119,9.5e-05,2.4732,1.5455,0.000363
Kiev,2950800,1138,0.000386,2.4732,1.0,0.000955
Kiev Oblast,1767940,153,8.7e-05,2.4732,1.5,0.000323
Kirovohrad Oblast,945549,45,4.9e-05,2.4732,2.0,0.000241
Luhansk Oblast,2151833,166,7.8e-05,2.4732,1.0641,0.000204
Lviv Oblast,2522021,195,7.8e-05,2.4732,1.3,0.00025
Mykolaiv Oblast,2522021,122,4.9e-05,2.4732,1.2708,0.000153
Odessa Oblast,2380308,427,0.00018,2.4732,1.708,0.00076
Poltava Oblast,1400439,103,7.4e-05,2.4732,1.0,0.000184
Rivne Oblast,1157301,56,4.9e-05,2.4732,1.5556,0.000189
Sevastopol*,443211,1175,0.002653,2.4732,1.1657,0.00765
Sumy Oblast,1081418,167,0.000155,2.4732,1.0,0.000384
Ternopil Oblast,1045879,69,6.7e-05,2.4732,1.725,0.000286
Vinnytsia Oblast,1560394,145,9.4e-05,2.4732,1.747,0.000404
Volyn Oblast,1035330,32,3.2e-05,2.4732,1.5238,0.00012
Zakarpattia Oblast,1256802,49,4e-05,2.4732,1.3611,0.000134
Zaporizhia Oblast,1705836,232,0.000137,2.4732,1.5782,0.000533
Zhytomyr Oblast,1220193,131,0.000108,2.4732,1.7237,0.000461
