Name,Population,Cases in past week,Reported prevalence,Underreporting factor,Delay factor,Estimated prevalence
Entire country,67886004,184195,0.002713,2.3321,1.0,0.006328
England,55977200,163338,0.002918,2.3321,1.0,0.006805
Northern Ireland,1881600,8533,0.004536,2.3321,1.0,0.010577
Scotland,5463300,6195,0.001134,2.3321,1.0,0.002645
Wales,3138600,4689,0.001494,2.3321,1.0,0.003485
Bermuda,62273,30,0.000498,2.3321,2.0,0.002322
British Virgin Islands,30237,111,0.003704,2.3321,1.0,0.008638
Cayman Islands,65720,7,0.000122,2.3321,1.0,0.000284
Channel Islands,170499,779,0.004575,2.3321,1.0,0.010669
Falkland Islands (Malvinas),3483,0,0.000287,2.3321,1.0,0.00067
Gibraltar,33691,181,0.005402,2.3321,1.0,0.012598
Isle of Man,85032,310,0.003657,2.3321,1.0,0.00853
Montserrat,4999,0,0.0002,2.3321,1.0,0.000467
Turks and Caicos Islands,38718,22,0.000594,2.3321,2.0,0.002771
Anguilla,15002,0,6.7e-05,2.3321,1.0,0.000155
Saint Helena, Ascension and Tristan da Cunha,5661,0,0.000177,2.3321,1.0,0.000412
